problem_id,description,name,tag,difficulty,try_count,accepted_count
765,"
Score : 1400 points


Problem StatementGiven are a positive integer N and a sequence of length 2^N consisting of 0s and 1s: A_0,A_1,\ldots,A_{2^N-1}.
Determine whether there exists a closed curve C that satisfies the condition below for all 2^N sets S \subseteq \{0,1,\ldots,N-1 \}. If the answer is yes, construct one such closed curve.

Let x = \sum_{i \in S} 2^i and B_S be the set of points \{ (i+0.5,0.5) | i \in S \}.
If there is a way to continuously move the closed curve C without touching B_S so that every point on the closed curve has a negative y-coordinate, A_x = 1.
If there is no such way, A_x = 0.

For instruction on printing a closed curve, see Output below.




NotesC is said to be a closed curve if and only if:

C is a continuous function from [0,1] to \mathbb{R}^2 such that C(0) = C(1).

We say that a closed curve C can be continuously moved without touching a set of points X so that it becomes a closed curve D if and only if:

There exists a function f : [0,1] \times [0,1] \rightarrow \mathbb{R}^2 that satisfies all of the following.
f is continuous.
f(0,t) = C(t).
f(1,t) = D(t).
f(x,t) \notin X.







Constraints
1 \leq N \leq 8
A_i = 0,1 \quad (0 \leq i \leq 2^N-1)
A_0 = 1







InputInput is given from Standard Input in the following format:
N
A_0A_1 \cdots A_{2^N-1}





OutputIf there is no closed curve that satisfies the condition, print Impossible.
If such a closed curve exists, print Possible in the first line.
Then, print one such curve in the following format:
L
x_0 y_0
x_1 y_1
:
x_L y_L

This represents the closed polyline that passes (x_0,y_0),(x_1,y_1),\ldots,(x_L,y_L) in this order.
Here, all of the following must be satisfied:

0 \leq x_i \leq N, 0 \leq y_i \leq 1, and x_i, y_i are integers. (0 \leq i \leq L)
|x_i-x_{i+1}| + |y_i-y_{i+1}| = 1. (0 \leq i \leq L-1)
(x_0,y_0) = (x_L,y_L).

Additionally, the length of the closed curve L must satisfy 0 \leq L \leq 250000.
It can be proved that, if there is a closed curve that satisfies the condition in Problem Statement, there is also a closed curve that can be expressed in this format.






Sample Input 11
10





Sample Output 1Possible
4
0 0
0 1
1 1
1 0
0 0

When S = \emptyset, we can move this curve so that every point on it has a negative y-coordinate.

When S = \{0\}, we cannot do so.






Sample Input 22
1000





Sample Output 2Possible
6
1 0
2 0
2 1
1 1
0 1
0 0
1 0

The output represents the following curve:






Sample Input 32
1001





Sample Output 3Impossible






Sample Input 41
11





Sample Output 4Possible
0
1 1


",Topology,"Bitmask, Backtracking, Geometry; 3d, Depth-first Search, Boolean Operations On Geometric Objects",0.0,10,1
766,"
Score : 800 points


Problem StatementGiven is a string S, where each character is 0, 1, or ?.
Consider making a string S' by replacing each occurrence of ? with 0 or 1 (we can choose the character for each ? independently).
Let us define the unbalancedness of S' as follows:

(The unbalancedness of S') = \max \{ The absolute difference between the number of occurrences of 0 and 1 between the l-th and r-th character of S (inclusive) :\ 1 \leq l \leq r \leq |S|\}

Find the minimum possible unbalancedness of S'.




Constraints
1 \leq |S| \leq 10^6
Each character of S is 0, 1, or ?.







InputInput is given from Standard Input in the following format:
S





OutputPrint the minimum possible unbalancedness of S'.






Sample Input 10??





Sample Output 11

We can make S'= 010 and achieve the minimum possible unbalancedness of 1.





Sample Input 20??0





Sample Output 22






Sample Input 3??00????0??0????0?0??00??1???11?1?1???1?11?111???1





Sample Output 34


",01 Unbalanced,"Prefix sum, Greedy Algorithm, Set / Map, Binary Search, Simulation, Segment Tree",0.167,10,2
767,"
Score : 700 points


Problem StatementWe have a rooted binary tree with N vertices, where the vertices are numbered 1 to N.
Vertex 1 is the root, and the parent of Vertex i (i \geq 2) is Vertex \left[ \frac{i}{2} \right].
Each vertex has one item in it. The item in Vertex i has a value of V_i and a weight of W_i.
Now, process the following query Q times:

Given are a vertex v of the tree and a positive integer L.
  Let us choose some (possibly none) of the items in v and the ancestors of v so that their total weight is at most L.
  Find the maximum possible total value of the chosen items.

Here, Vertex u is said to be an ancestor of Vertex v when u is an indirect parent of v, that is, there exists a sequence of vertices w_1,w_2,\ldots,w_k (k\geq 2) where w_1=v, w_k=u, and w_{i+1} is the parent of w_i for each i.




Constraints
All values in input are integers.
1 \leq N < 2^{18}
1 \leq Q \leq 10^5
1 \leq V_i \leq 10^5
1 \leq W_i \leq 10^5
For the values v and L given in each query, 1 \leq v \leq N and 1 \leq L \leq 10^5.







InputLet v_i and L_i be the values v and L given in the i-th query.
Then, Input is given from Standard Input in the following format:
N
V_1 W_1
:
V_N W_N
Q
v_1 L_1
:
v_Q L_Q





OutputFor each integer i from 1 through Q,
the i-th line should contain the response to the i-th query.






Sample Input 13
1 2
2 3
3 4
3
1 1
2 5
3 5





Sample Output 10
3
3

In the first query, we are given only one choice: the item with (V, W)=(1,2). Since L = 1, we cannot actually choose it, so our response should be 0.
In the second query, we are given two choices: the items with (V, W)=(1,2) and (V, W)=(2,3). Since L = 5, we can choose both of them, so our response should be 3.





Sample Input 215
123 119
129 120
132 112
126 109
118 103
115 109
102 100
130 120
105 105
132 115
104 102
107 107
127 116
121 104
121 115
8
8 234
9 244
10 226
11 227
12 240
13 237
14 206
15 227





Sample Output 2256
255
250
247
255
259
223
253


",Knapsack Queries on a tree,"Tree, Graph Theory, Knapsack, Bitmask, Bruteforcing, Divide And Conquer, Two-pointer, Memoization",0.071,41,4
768,"
Score : 800 points


Problem StatementGiven are N pairwise distinct non-negative integers A_1,A_2,\ldots,A_N.
Find the number of ways to choose a set of between 1 and K numbers (inclusive) from the given numbers so that the following two conditions are satisfied:

The bitwise AND of the chosen numbers is S.
The bitwise OR of the chosen numbers is T.





Constraints
1 \leq N \leq 50
1 \leq K \leq N
0 \leq A_i < 2^{18}
0 \leq S < 2^{18}
0 \leq T < 2^{18}
A_i \neq A_j (1 \leq i < j \leq N)







InputInput is given from Standard Input in the following format:
N K S T
A_1 A_2 ... A_N





OutputPrint the answer.






Sample Input 13 3 0 3
1 2 3





Sample Output 12

The conditions are satisfied when we choose \{1,2\} or \{1,2,3\}.





Sample Input 25 3 1 7
3 4 9 1 5





Sample Output 22






Sample Input 35 4 0 15
3 4 9 1 5





Sample Output 33


",O(rand),"Bitmask, Boolean Operations On Geometric Objects, Inclusion And Exclusion, Combinatorics, Sorting, Enumeration",0.5,2,1
769,"
Score : 600 points


Problem StatementWe have a grid with A horizontal rows and B vertical columns, with the squares painted white. On this grid, we will repeatedly apply the following operation:

Assume that the grid currently has a horizontal rows and b vertical columns. Choose ""vertical"" or ""horizontal"".
If we choose ""vertical"", insert one row at the top of the grid, resulting in an (a+1) \times b grid.
If we choose ""horizontal"", insert one column at the right end of the grid, resulting in an a \times (b+1) grid.


Then, paint one of the added squares black, and the other squares white.

Assume the grid eventually has C horizontal rows and D vertical columns. Find the number of ways in which the squares can be painted in the end, modulo 998244353.




Constraints
1 \leq A \leq C \leq 3000
1 \leq B \leq D \leq 3000
A, B, C, and D are integers.







InputInput is given from Standard Input in the following format:
A B C D





OutputPrint the number of ways in which the squares can be painted in the end, modulo 998244353.






Sample Input 11 1 2 2





Sample Output 13

Any two of the three squares other than the bottom-left square can be painted black.





Sample Input 22 1 3 4





Sample Output 265






Sample Input 331 41 59 265





Sample Output 3387222020


",Extension,"Dyanmic Programming, Combinatorics, Arithmetic, Inclusion And Exclusion, Dynamic Programming",0.667,41,23
770,"
Score : 800 points


Problem StatementGiven is a string S consisting of 0 and 1. Find the number of strings, modulo 998244353, that can result from applying the following operation on S between 0 and K times (inclusive):

Choose a pair of integers i, j (1\leq i < j\leq |S|) such that the i-th and j-th characters of S are 0 and 1, respectively. Remove the j-th character from S and insert it to the immediate left of the i-th character.





Constraints
1 \leq |S| \leq 300
0 \leq K \leq 10^9
S consists of 0 and 1.







InputInput is given from Standard Input in the following format:
S K





OutputFind the number of strings, modulo 998244353, that can result from applying the operation on S between 0 and K times (inclusive).






Sample Input 10101 1





Sample Output 14

Four strings, 0101, 0110, 1001, and 1010, can result.





Sample Input 201100110 2





Sample Output 214






Sample Input 31101010010101101110111100011011111011000111101110101010010101010101 20





Sample Output 3113434815


",Shift,"Dyanmic Programming, Combinatorics, Bitmask, Arithmetic, Bruteforcing, Backtracking",0.833,7,6
771,"


Problem StatementAtCoder currently hosts three types of contests: ABC, ARC, and AGC. As the number of users has grown, in order to meet the needs of more users, AtCoder has decided to increase the number of contests to 26 types, from AAC to AZC. For convenience, we number these 26 types as type 1 through type 26. AtCoder wants to schedule contests for D days so that user satisfaction is as high as possible. For every day, AtCoder will hold exactly one contest, and each contest will end on that day. The satisfaction is calculated as follows.

The satisfaction at the beginning of day 1 is 0. Satisfaction can be negative.
Holding contests increases satisfaction. The amount of increase will vary depending on a variety of factors. Specifically, we know in advance that holding a contest of type i on day d will increase the satisfaction by s_{d,i}.
If a particular type of contest is not held for a while, the satisfaction decreases. Each contest type i has an integer c_i, and at the end of each day d=1,2,...,D, the satisfaction decreases as follows. Let \mathrm{last}(d,i) be the last day before day d (including d) on which a contest of type i was held. If contests of type i have never been held yet, we define \mathrm{last}(d,i)=0. At the end of day d, the satisfaction decreases by \sum _{i=1}^{26}c_i \times (d-\mathrm{last}(d,i)).

Please schedule contests on behalf of AtCoder.
If the satisfaction at the end of day D is S, you will get a score of \max(10^6 + S, 0).
There are 50 test cases, and the score of a submission is the total scores for each test case.
You can make submissions multiple times, and the highest score among your submissions will be your score.




Constraints
D = 365
Each c_i is an integer satisfying 0\leq c_i \leq 100.
Each s_{d,i} is an integer satisfying 0\leq s_{d,i} \leq 20000.







InputInput is given from Standard Input in the following format:
D
c_1 c_2 \cdots c_{26}
s_{1,1} s_{1,2} \cdots s_{1,26}
\vdots
s_{D,1} s_{D,2} \cdots s_{D,26}





OutputLet t_d (1\leq t_d \leq 26) be the type of the contest that will be held at day d.
Print D integers t_d to Standard Output in the following format:
t_1
t_2
\vdots
t_D

Any output that does not follow the above format may result in 0 pointsWA for that test case.




Input GenerationEach integer c_i and s_{d,i} is generated independently and uniformly at random from the integers in the range described in the problem statement.






Sample Input 15
86 90 69 51 2 96 71 47 88 34 45 46 89 34 31 38 97 84 41 80 14 4 50 83 7 82
19771 12979 18912 10432 10544 12928 13403 3047 10527 9740 8100 92 2856 14730 1396 15905 6534 4650 11469 3628 8433 2994 10899 16396 18355 11424
6674 17707 13855 16407 12232 2886 11908 1705 5000 1537 10440 10711 4917 10770 17272 15364 19277 18094 3929 3705 7169 6159 18683 15410 9092 4570
6878 4239 19925 1799 375 9563 3445 5658 19857 11401 6997 6498 19933 3848 2426 2146 19745 16880 17773 18359 3921 14172 16730 11157 5439 256
8633 15862 15303 10749 18499 7792 10317 5901 9395 11433 3514 3959 5202 19850 19469 9790 5653 784 18500 10552 17975 16615 7852 197 8471 7452
19855 17918 7990 10572 4333 438 9140 9104 12622 4985 12319 4028 19922 12132 16259 17476 2976 547 19195 19830 16285 4806 4471 9457 2864 2192





Sample Output 11
17
13
14
13

Note that this example is a small one for checking the problem specification. It does not satisfy the constraint D=365 and is never actually given as a test case. The final satisfaction with this output is 79325, so the score is 1079325.
Input generator, score calculator, and visualizer




Beginner's GuideIf you don't know what to do, proceed to problem B or C.

",AtCoder Contest Scheduling,"Greedy Algorithm, Heuristics, Dyanmic Programming, Bit Set, Two-pointer, Mathematics, Data Structure",0.688,287,218
772,"
Score : 100 points


Problem StatementA balance scale tips to the left if L>R, where L is the total weight of the masses on the left pan and R is the total weight of the masses on the right pan. Similarly, it balances if L=R, and tips to the right if L<R.
Takahashi placed a mass of weight A and a mass of weight B on the left pan of a balance scale, and placed a mass of weight C and a mass of weight D on the right pan.
Print Left if the balance scale tips to the left; print Balanced if it balances; print Right if it tips to the right.




Constraints
1\leq A,B,C,D \leq 10
All input values are integers.







InputInput is given from Standard Input in the following format:
A B C D





OutputPrint Left if the balance scale tips to the left; print Balanced if it balances; print Right if it tips to the right.






Sample Input 13 8 7 1





Sample Output 1Left

The total weight of the masses on the left pan is 11, and the total weight of the masses on the right pan is 8. Since 11>8, we should print Left.





Sample Input 23 4 5 2





Sample Output 2Balanced

The total weight of the masses on the left pan is 7, and the total weight of the masses on the right pan is 7. Since 7=7, we should print Balanced.





Sample Input 31 7 6 4





Sample Output 3Right

The total weight of the masses on the left pan is 8, and the total weight of the masses on the right pan is 10. Since 8<10, we should print Right.

",Libra,"Implementation, Arithmetic, Boolean Operations On Geometric Objects",0.773,155,121
773,"
Score : 100 points


Problem StatementWe have a 3×3 square grid, where each square contains a lowercase English letters.
The letter in the square at the i-th row from the top and j-th column from the left is c_{ij}.
Print the string of length 3 that can be obtained by concatenating the letters in the squares on the diagonal connecting the top-left and bottom-right corner of the grid, from the top-left to bottom-right.




Constraints
Input consists of lowercase English letters.







InputInput is given from Standard Input in the following format:
c_{11}c_{12}c_{13}
c_{21}c_{22}c_{23}
c_{31}c_{32}c_{33}





OutputPrint the string of length 3 that can be obtained by concatenating the letters on the diagonal connecting the top-left and bottom-right corner of the grid, from the top-left to bottom-right.






Sample Input 1ant
obe
rec





Sample Output 1abc

The letters in the squares on the diagonal connecting the top-left and bottom-right corner of the grid are a, b and c from top-right to bottom-left. Concatenate these letters and print abc.





Sample Input 2edu
cat
ion





Sample Output 2ean


",Diagonal String,"String, Array",0.831,182,136
774,"
Score : 200 points


Problem StatementWe have a long seat of width X centimeters.
There are many people who wants to sit here. A person sitting on the seat will always occupy an interval of length Y centimeters.
We would like to seat as many people as possible, but they are all very shy, and there must be a gap of length at least Z centimeters between two people, and between the end of the seat and a person.
At most how many people can sit on the seat?




Constraints
All input values are integers.
1 \leq X, Y, Z \leq 10^5
Y+2Z \leq X







InputInput is given from Standard Input in the following format:
X Y Z





OutputPrint the answer.






Sample Input 113 3 1





Sample Output 13

There is just enough room for three, as shown below:


Figure






Sample Input 212 3 1





Sample Output 22






Sample Input 3100000 1 1





Sample Output 349999






Sample Input 464146 123 456





Sample Output 4110






Sample Input 564145 123 456





Sample Output 5109


",ISU,"Arithmetic, Mathematics, Greedy Algorithm",0.784,180,130
775,"
Score : 100 points


Problem StatementYou are given two integers a and b.
Determine if a+b=15 or a\times b=15 or neither holds.
Note that a+b=15 and a\times b=15 do not hold at the same time.




Constraints
1 \leq a,b \leq 15
All values in input are integers.







InputInput is given from Standard Input in the following format:
a b





OutputIf a+b=15, print +;
if a\times b=15, print *;
if neither holds, print x.






Sample Input 14 11





Sample Output 1+

4+11=15.





Sample Input 23 5





Sample Output 2*

3\times 5=15.





Sample Input 31 1





Sample Output 3x

1+1=2 and 1\times 1=1, neither of which is 15.

",F,"Implementation, Arithmetic",0.803,123,77
776,"
Score : 200 points


Problem StatementYou are given a string S consisting of lowercase English letters.
We will write down this string, starting a new line after every w letters. Print the string obtained by concatenating the letters at the beginnings of these lines from top to bottom.




Constraints
1 \leq w \leq |S| \leq 1000
S consists of lowercase English letters.
w is an integer.







InputInput is given from Standard Input in the following format:
S
w





OutputPrint the desired string in one line.






Sample Input 1abcdefgh
3





Sample Output 1adg

When we write down abcdefgh, starting a new line after every three letters, we get the following:
abc
def
gh
Concatenating the letters at the beginnings of these lines, we obtain adg.





Sample Input 2lllll
1





Sample Output 2lllll






Sample Input 3souuundhound
2





Sample Output 3suudon


",Acrostic,"Arithmetic, String",0.824,97,73
777,"
Score : 200 points


Problem StatementLet w be a string consisting of lowercase letters.
We will call w beautiful if the following condition is satisfied:

Each lowercase letter of the English alphabet occurs even number of times in w.

You are given the string w. Determine if w is beautiful.




Constraints
1 \leq |w| \leq 100
w consists of lowercase letters (a-z).







InputThe input is given from Standard Input in the following format:
w





OutputPrint Yes if w is beautiful. Print No otherwise.






Sample Input 1abaccaba





Sample Output 1Yes

a occurs four times, b occurs twice, c occurs twice and the other letters occur zero times.





Sample Input 2hthth





Sample Output 2No


",Beautiful Strings,"Counting, Bruteforcing, Array, Arithmetic",0.793,259,179
778,"
Score : 200 points


Problem StatementAlice, Bob and Charlie are playing Card Game for Three, as below:

At first, each of the three players has a deck consisting of some number of cards. Each card has a letter a, b or c written on it. The orders of the cards in the decks cannot be rearranged.
The players take turns. Alice goes first.
If the current player's deck contains at least one card, discard the top card in the deck. Then, the player whose name begins with the letter on the discarded card, takes the next turn. (For example, if the card says a, Alice takes the next turn.)
If the current player's deck is empty, the game ends and the current player wins the game.

You are given the initial decks of the players.
More specifically, you are given three strings S_A, S_B and S_C. The i-th (1≦i≦|S_A|) letter in S_A is the letter on the i-th card in Alice's initial deck. S_B and S_C describes Bob's and Charlie's initial decks in the same way.
Determine the winner of the game.




Constraints
1≦|S_A|≦100
1≦|S_B|≦100
1≦|S_C|≦100
Each letter in S_A, S_B, S_C is a, b or c.







InputThe input is given from Standard Input in the following format:
S_A
S_B
S_C





OutputIf Alice will win, print A. If Bob will win, print B. If Charlie will win, print C.






Sample Input 1aca
accc
ca





Sample Output 1A

The game will progress as below:

Alice discards the top card in her deck, a. Alice takes the next turn.
Alice discards the top card in her deck, c. Charlie takes the next turn.
Charlie discards the top card in his deck, c. Charlie takes the next turn.
Charlie discards the top card in his deck, a. Alice takes the next turn.
Alice discards the top card in her deck, a. Alice takes the next turn.
Alice's deck is empty. The game ends and Alice wins the game.






Sample Input 2abcb
aacb
bccc





Sample Output 2C


",Card Game for Three (ABC Edit),"Simulation, String, Bruteforcing, Implementation, Dynamic Programming",0.704,256,155
779,"
Score : 200 points


Problem StatementYou are given two positive integers A and B. Compare the magnitudes of these numbers.




Constraints
1 ≤ A, B ≤ 10^{100}
Neither A nor B begins with a 0.







InputInput is given from Standard Input in the following format:
A
B





OutputPrint GREATER if A>B, LESS if A<B and EQUAL if A=B.






Sample Input 136
24





Sample Output 1GREATER

Since 36>24, print GREATER.





Sample Input 2850
3777





Sample Output 2LESS






Sample Input 39720246
22516266





Sample Output 3LESS






Sample Input 4123456789012345678901234567890
234567890123456789012345678901





Sample Output 4LESS


",Comparison,"String, Implementation, Bruteforcing",0.536,203,107
780,"
Score : 500 points


Problem StatementIn Takahashi Kingdom, which once existed, there are N cities, and some pairs of cities are connected bidirectionally by roads.
The following are known about the road network:

People traveled between cities only through roads. It was possible to reach any city from any other city, via intermediate cities if necessary.
Different roads may have had different lengths, but all the lengths were positive integers.

Snuke the archeologist found a table with N rows and N columns, A, in the ruin of Takahashi Kingdom.
He thought that it represented the shortest distances between the cities along the roads in the kingdom.
Determine whether there exists a road network such that for each u and v, the integer A_{u, v} at the u-th row and v-th column of A is equal to the length of the shortest path from City u to City v.
If such a network exist, find the shortest possible total length of the roads.




Constraints
1 \leq N \leq 300
If i ≠ j, 1 \leq A_{i, j} = A_{j, i} \leq 10^9.
A_{i, i} = 0







InputsInput is given from Standard Input in the following format:
N
A_{1, 1} A_{1, 2} ... A_{1, N}
A_{2, 1} A_{2, 2} ... A_{2, N}
...
A_{N, 1} A_{N, 2} ... A_{N, N}





OutputsIf there exists no network that satisfies the condition, print -1.
If it exists, print the shortest possible total length of the roads.






Sample Input 13
0 1 3
1 0 2
3 2 0





Sample Output 13

The network below satisfies the condition:

City 1 and City 2 is connected by a road of length 1.
City 2 and City 3 is connected by a road of length 2.
City 3 and City 1 is not connected by a road.






Sample Input 23
0 1 3
1 0 1
3 1 0





Sample Output 2-1

As there is a path of length 1 from City 1 to City 2 and City 2 to City 3, there is a path of length 2 from City 1 to City 3.
However, according to the table, the shortest distance between City 1 and City 3 must be 3.
Thus, we conclude that there exists no network that satisfies the condition.





Sample Input 35
0 21 18 11 28
21 0 13 10 26
18 13 0 23 13
11 10 23 0 17
28 26 13 17 0





Sample Output 382






Sample Input 43
0 1000000000 1000000000
1000000000 0 1000000000
1000000000 1000000000 0





Sample Output 43000000000


",Restoring Road Network,"Shortest Path, Mathematics, Bruteforcing, Strongly Connected Component, Graph Theory",0.704,42,27
781,"
Score : 500 points


Problem StatementLet N be a positive integer.
There is a numerical sequence of length 3N, a = (a_1, a_2, ..., a_{3N}).
Snuke is constructing a new sequence of length 2N, a', by removing exactly N elements from a without changing the order of the remaining elements.
Here, the score of a' is defined as follows: (the sum of the elements in the first half of a') - (the sum of the elements in the second half of a').
Find the maximum possible score of a'.




Constraints
1 ≤ N ≤ 10^5
a_i is an integer.
1 ≤ a_i ≤ 10^9





Partial Score
In the test set worth 300 points, N ≤ 1000.







InputInput is given from Standard Input in the following format:
N
a_1 a_2 ... a_{3N}





OutputPrint the maximum possible score of a'.






Sample Input 12
3 1 4 1 5 9





Sample Output 11

When a_2 and a_6 are removed, a' will be (3, 4, 1, 5), which has a score of (3 + 4) - (1 + 5) = 1.





Sample Input 21
1 2 3





Sample Output 2-1

For example, when a_1 are removed, a' will be (2, 3), which has a score of 2 - 3 = -1.





Sample Input 33
8 2 2 7 4 6 5 3 8





Sample Output 35

For example, when a_2, a_3 and a_9 are removed, a' will be (8, 7, 4, 6, 5, 3), which has a score of (8 + 7 + 4) - (6 + 5 + 3) = 5.

",3N Numbers,"Priority Queue, Prefix sum, Two-pointer",0.333,36,12
782,"
Score : 400 points


Problem StatementThere is a directed graph with N vertices and M edges.
The i-th edge (1≤i≤M) points from vertex a_i to vertex b_i, and has a weight c_i.
We will play the following single-player game using this graph and a piece.
Initially, the piece is placed at vertex 1, and the score of the player is set to 0.
The player can move the piece as follows:

When the piece is placed at vertex a_i, move the piece along the i-th edge to vertex b_i. After this move, the score of the player is increased by c_i.

The player can end the game only when the piece is placed at vertex N.
The given graph guarantees that it is possible to traverse from vertex 1 to vertex N.
When the player acts optimally to maximize the score at the end of the game, what will the score be?
If it is possible to increase the score indefinitely, print inf.




Constraints
2≤N≤1000 
1≤M≤min(N(N-1),2000) 
1≤a_i,b_i≤N (1≤i≤M) 
a_i≠b_i (1≤i≤M) 
a_i≠a_j or b_i≠b_j (1≤i<j≤M) 
-10^9≤c_i≤10^9 (1≤i≤M)
c_i is an integer.
In the given graph, there exists a path from vertex 1 to vertex N.







InputInput is given from Standard Input in the following format:  
N M  
a_1 b_1 c_1  
a_2 b_2 c_2
:  
a_M b_M c_M  





OutputPrint the maximum possible score at the end of the game, if it is finite. If it is possible to increase the score indefinitely, print inf.  






Sample Input 13 3
1 2 4
2 3 3
1 3 5





Sample Output 17

There are two ways to move the piece to vertex N=3:

vertex 1 → vertex 2 → vertex 3 : score 4+3=7
vertex 1 → vertex 3 : score 5

Thus, the maximum possible score at the end of the game is 7.





Sample Input 22 2
1 2 1
2 1 1





Sample Output 2inf

It is possible to increase the score indefinitely by alternating between vertex 1 and 2.





Sample Input 36 5
1 2 -1000000000
2 3 -1000000000
3 4 -1000000000
4 5 -1000000000
5 6 -1000000000





Sample Output 3-5000000000


",Score Attack,"Graph Theory, Directed Acyclic Graph, Shortest Path, Graph Traversal",0.217,167,20
783,"
Score : 600 points


Problem StatementA bracket sequence is a string that is one of the following:

An empty string;
The concatenation of (, A, and ) in this order, for some bracket sequence A ;
The concatenation of A and B in this order, for some non-empty bracket sequences A and B /

Given are N strings S_i. Can a bracket sequence be formed by concatenating all the N strings in some order?




Constraints
1 \leq N \leq 10^6
The total length of the strings S_i is at most 10^6.
S_i is a non-empty string consisting of ( and ).







InputInput is given from Standard Input in the following format:
N
S_1
:
S_N





OutputIf a bracket sequence can be formed by concatenating all the N strings in some order, print Yes; otherwise, print No.






Sample Input 12
)
(()





Sample Output 1Yes

Concatenating (() and ) in this order forms a bracket sequence.





Sample Input 22
)(
()





Sample Output 2No






Sample Input 34
((()))
((((((
))))))
()()()





Sample Output 3Yes






Sample Input 43
(((
)
)





Sample Output 4No


",Bracket Sequencing,"Greedy Algorithm, Sorting, Prefix sum, Stack, Divide And Conquer",0.057,209,22
784,"
Score : 400 points


Problem StatementThe ABC number of a string T is the number of triples of integers (i, j, k) that satisfy all of the following conditions:

1 ≤ i < j < k ≤ |T| (|T| is the length of T.)
T_i = A (T_i is the i-th character of T from the beginning.)
T_j = B
T_k = C

For example, when T = ABCBC, there are three triples of integers (i, j, k) that satisfy the conditions: (1, 2, 3), (1, 2, 5), (1, 4, 5). Thus, the ABC number of T is 3.
You are given a string S. Each character of S is A, B, C or ?.
Let Q be the number of occurrences of ? in S. We can make 3^Q strings by replacing each occurrence of ? in S with A, B or C. Find the sum of the ABC numbers of all these strings.
This sum can be extremely large, so print the sum modulo 10^9 + 7.




Constraints
3 ≤ |S| ≤ 10^5
Each character of S is A, B, C or ?.







InputInput is given from Standard Input in the following format:
S





OutputPrint the sum of the ABC numbers of all the 3^Q strings, modulo 10^9 + 7.






Sample Input 1A??C





Sample Output 18

In this case, Q = 2, and we can make 3^Q = 9 strings by by replacing each occurrence of ? with A, B or C. The ABC number of each of these strings is as follows:

AAAC: 0
AABC: 2
AACC: 0
ABAC: 1
ABBC: 2
ABCC: 2
ACAC: 0
ACBC: 1
ACCC: 0

The sum of these is 0 + 2 + 0 + 1 + 2 + 2 + 0 + 1 + 0 = 8, so we print 8 modulo 10^9 + 7, that is, 8.





Sample Input 2ABCBC





Sample Output 23

When Q = 0, we print the ABC number of S itself, modulo 10^9 + 7. This string is the same as the one given as an example in the problem statement, and its ABC number is 3.





Sample Input 3????C?????B??????A???????





Sample Output 3979596887

In this case, the sum of the ABC numbers of all the 3^Q strings is 2291979612924, and we should print this number modulo 10^9 + 7, that is, 979596887.

",We Love ABC,"Dyanmic Programming, Combinatorics, Arithmetic, String",0.583,54,24
785,"
Score : 400 points


Problem StatementFennec and Snuke are playing a board game.
On the board, there are N cells numbered 1 through N, and N-1 roads, each connecting two cells. Cell a_i is adjacent to Cell b_i through the i-th road. Every cell can be reached from every other cell by repeatedly traveling to an adjacent cell. In terms of graph theory, the graph formed by the cells and the roads is a tree.
Initially, Cell 1 is painted black, and Cell N is painted white. The other cells are not yet colored.
Fennec (who goes first) and Snuke (who goes second) alternately paint an uncolored cell.
More specifically, each player performs the following action in her/his turn:

Fennec: selects an uncolored cell that is adjacent to a black cell, and paints it black.
Snuke: selects an uncolored cell that is adjacent to a white cell, and paints it white.

A player loses when she/he cannot paint a cell. Determine the winner of the game when Fennec and Snuke play optimally.




Constraints
2 \leq N \leq 10^5
1 \leq a_i, b_i \leq N
The given graph is a tree.







InputInput is given from Standard Input in the following format:
N
a_1 b_1
:
a_{N-1} b_{N-1}





OutputIf Fennec wins, print Fennec; if Snuke wins, print Snuke.






Sample Input 17
3 6
1 2
3 1
7 4
5 7
1 4





Sample Output 1Fennec

For example, if Fennec first paints Cell 2 black, she will win regardless of Snuke's moves.





Sample Input 24
1 4
4 2
2 3





Sample Output 2Snuke


",Fennec VS. Snuke,"Graph Theory, Graph Traversal, Breadth-first Search, Geometry; 3d, Arithmetic",0.308,70,25
786,"
Score : 600 points


Problem StatementGiven are a sequence of N positive integers A_1, A_2, \ldots, A_N and another positive integer S.
For a non-empty subset T of the set \{1, 2, \ldots , N \}, let us define f(T) as follows:

f(T) is the number of different non-empty subsets \{x_1, x_2, \ldots , x_k \} of T such that A_{x_1}+A_{x_2}+\cdots +A_{x_k} = S.

Find the sum of f(T) over all 2^N-1 subsets T of \{1, 2, \ldots , N \}. Since the sum can be enormous, print it modulo 998244353.




Constraints
All values in input are integers.
1 \leq N \leq 3000
1 \leq S \leq 3000
1 \leq A_i \leq 3000







InputInput is given from Standard Input in the following format:
N S
A_1 A_2 ... A_N





OutputPrint the sum of f(T) modulo 998244353.






Sample Input 13 4
2 2 4





Sample Output 16

For each T, the value of f(T) is shown below. The sum of these values is 6.

f(\{1\}) = 0
f(\{2\}) = 0
f(\{3\}) = 1 (One subset \{3\} satisfies the condition.)
f(\{1, 2\}) = 1 (\{1, 2\})
f(\{2, 3\}) = 1 (\{3\})
f(\{1, 3\}) = 1 (\{3\})
f(\{1, 2, 3\}) = 2 (\{1, 2\}, \{3\})






Sample Input 25 8
9 9 9 9 9





Sample Output 20






Sample Input 310 10
3 1 4 1 5 9 2 6 5 3





Sample Output 33296


",Knapsack for All Subsets,"Dyanmic Programming, Combinatorics, Arithmetic, Bitmask",0.6,82,39
